REINFORCE,BBO,TRS Error Bar,BBO Error Bar
2.29266,0.283303,0.0496277,0.0628079
2.34798,0.313713,0.0487069,0.0577126
2.32515,0.321766,0.0501978,0.0488069
2.36398,0.330679,0.0487978,0.0442978
2.28503,0.318742,0.0493871,0.0595044
2.35646,0.276141,0.0495596,0.0725638
2.31225,0.33128,0.049308,0.0497547
2.38589,0.37536,0.0478163,0.0552884
2.35698,0.274767,0.0490645,0.0627753
2.32551,0.384911,0.0545795,0.0551924
2.39835,0.219359,0.048452,0.0664986
2.32683,0.334724,0.050256,0.0525514
2.37019,0.329239,0.0481337,0.0590532
2.28269,0.309624,0.0493955,0.0564716
2.36303,0.337414,0.0493112,0.0499675
2.33677,0.312127,0.0484217,0.0635375
2.31302,0.30241,0.0489632,0.0622628
2.28457,0.281757,0.0492421,0.0618011
2.41363,0.254564,0.047995,0.0700545
2.38378,0.400962,0.0490374,0.0535547
2.34689,0.345084,0.0502728,0.0489433
2.37414,0.37859,0.0485824,0.0456633
2.28562,0.324675,0.048977,0.0560849
2.32511,0.336137,0.0502322,0.0473738
2.39223,0.379504,0.0491613,0.0451279
2.28452,0.266921,0.054514,0.0541632
2.34629,0.313207,0.0482324,0.054191
2.36859,0.336463,0.0488223,0.0483879
2.39139,0.263135,0.0492907,0.0597147
2.32998,0.271091,0.0485109,0.0534894
2.38713,0.302629,0.0493808,0.052278
2.2932,0.361647,0.0494436,0.0434625
2.4481,0.376366,0.0503327,0.0558697
2.40434,0.336858,0.0501425,0.0525189
2.36979,0.336342,0.0482244,0.0557624
2.33549,0.354422,0.0505898,0.0589633
2.4138,0.413839,0.0476395,0.0556494
2.3396,0.262601,0.0484411,0.057795
2.45818,0.22519,0.048577,0.0813758
2.38579,0.324009,0.048934,0.0587638
2.3966,0.364924,0.0503677,0.0567138
2.37922,0.286405,0.0504413,0.069714
2.4042,0.352636,0.0479608,0.0553136
2.43592,0.228227,0.0487514,0.0735756
2.38497,0.308476,0.0485264,0.0543105
2.40779,0.367993,0.0491789,0.055416
2.35117,0.295999,0.0486236,0.0502971
2.4088,0.390184,0.0482143,0.0496318
2.43201,0.366344,0.0485026,0.0492776
2.37608,0.399107,0.0504642,0.0477135
2.369,0.273053,0.0513768,0.0546274
2.37627,0.39023,0.0494997,0.0476858
2.41632,0.321629,0.0495924,0.049383
2.35912,0.384659,0.0476395,0.0495731
2.43595,0.39617,0.0484963,0.0539646
2.32953,0.370199,0.0488335,0.0467072
2.37443,0.310666,0.0495656,0.0643516
2.40019,0.379599,0.0504162,0.0481654
2.42435,0.387592,0.0484341,0.0459473
2.43319,0.259912,0.048172,0.0633999
2.42599,0.448455,0.0501095,0.0420208
2.4175,0.379827,0.0484837,0.0427421
2.41846,0.357253,0.0489335,0.0576163
2.48051,0.359799,0.0477489,0.0624278
